class,ax,ay,az,gx,gy,gz
u,9900,432,-13736,4,-195,-76
u,9796,440,-13820,22,-259,-40
u,9788,444,-13600,53,-271,-88
u,9768,508,-13660,79,-296,-44
u,9796,436,-13768,128,-365,-31
u,9952,560,-13716,176,-395,49
u,9984,528,-13744,204,-422,164
u,10156,716,-13852,240,-328,262
u,10008,720,-13768,222,-201,323
u,9976,788,-13936,178,-181,367
u,10040,620,-13988,154,-191,407
u,9992,656,-13952,162,-214,418
u,9984,624,-14104,205,-222,468
u,10156,488,-14032,251,-178,494
u,10088,532,-13976,225,-48,541
u,10028,604,-14104,120,-40,470
u,10024,476,-14072,-84,12,298
u,9920,432,-14100,-279,-39,163
u,10012,404,-14024,-404,-84,102
u,9940,272,-14024,-331,-58,107
u,9988,36,-14056,-171,-57,195
u,9924,52,-14100,14,-83,283
u,9800,12,-14016,122,-99,369
u,9824,224,-14104,183,-191,350
u,9976,172,-14144,134,-248,303
u,10088,268,-14096,108,-123,313
u,10244,160,-14208,102,146,389
u,9976,100,-13964,-36,305,369
u,10036,132,-13924,-147,420,344
u,9844,-8,-13996,-148,412,313
d,9784,-16,-13752,-101,385,332
d,9676,-128,-13724,14,280,361
d,9700,-64,-13588,22,153,334
d,9680,-196,-13488,95,86,336
d,9668,-80,-13352,159,14,306
d,9760,-80,-13572,257,-104,274
d,9824,-36,-13640,391,-153,249
d,9896,68,-13664,563,-65,327
d,10148,96,-13688,662,14,335
d,10032,240,-13828,713,86,416
d,9936,484,-13752,694,87,417
d,9956,552,-13868,659,107,480
d,9988,532,-13784,590,180,544
d,9876,504,-13852,436,142,580
d,9924,480,-13848,297,174,563
d,9924,384,-13848,132,160,463
d,9788,172,-13856,67,-9,338
d,9936,144,-13716,88,-69,236
d,10072,208,-13600,145,-126,91
d,10064,352,-13688,187,-154,-15
d,10084,336,-13812,188,-190,-165
d,10100,364,-13872,230,-58,-270
d,10148,736,-14088,251,-39,-300
d,10168,876,-14184,247,-65,-313
d,10200,1044,-14480,300,-6,-254
d,10228,1152,-14660,349,49,-144
d,10532,1180,-14616,375,76,13
d,10700,1244,-14612,405,223,108
d,10604,1044,-14744,492,460,272
d,10648,1024,-14768,546,646,422
d,10752,972,-14776,484,815,584
r,10888,844,-14628,386,967,631
r,10888,748,-14644,230,1000,717
r,10836,472,-14456,147,988,725
r,10660,308,-14432,188,919,725
r,10732,244,-14532,203,899,679
r,10880,220,-14676,272,950,702
r,11224,332,-14696,242,1073,749
r,11392,264,-14768,171,1323,733
r,11400,268,-14768,-15,1635,683
r,11292,124,-14624,-261,1917,511
r,11348,-12,-14364,-423,2065,371
r,11192,-312,-14228,-333,2246,291
r,10760,-288,-14184,-116,2326,220
r,11048,-156,-14400,44,2253,129
r,11092,36,-14172,268,2187,29
r,11272,52,-14080,539,2264,52
r,11456,176,-14040,880,2443,166
r,11576,296,-13736,1199,2676,350
r,11576,644,-13504,1342,3108,519
r,11444,928,-13424,1394,3367,671
r,11080,1208,-13496,1304,3513,869
r,10640,1404,-13456,1181,3450,1073
r,10032,1528,-13180,1133,2955,1223
r,9912,1340,-12744,1159,2579,1456
r,9684,1500,-12896,1214,2289,1781
r,9616,1536,-12964,997,1830,1890
r,9608,1480,-12796,406,1557,1629
r,9812,1404,-12836,-46,1433,1236
r,10104,1120,-12440,-266,1216,918
r,10244,852,-11924,71,1498,1012
r,9724,1060,-11752,677,1803,1534
r,9040,1600,-12016,1060,1553,2149
r,8212,2048,-12524,987,881,2709
r,8436,1944,-12980,500,102,2997
r,8792,1540,-13484,-171,-565,3060
r,9684,728,-13908,-727,-1121,3101
r,10256,320,-13584,-1363,-1311,2893
r,10584,-544,-12912,-1904,-281,2594
r,10760,-712,-13104,-2008,30,2470
r,10204,-712,-12684,-1479,-745,2400
l,10832,-1364,-13844,-871,-2203,1127
l,11152,-1424,-13544,-269,-2467,744
l,11092,-1060,-13336,358,-2324,562
l,10252,-144,-13892,683,-2368,467
l,9944,408,-13996,555,-3189,531
l,10060,720,-14188,215,-3792,918
l,10256,948,-14732,-374,-4305,1610
l,10924,1116,-15424,-987,-4896,2362
l,11832,780,-15708,-1591,-4714,2763
l,12508,-264,-15700,-2188,-3726,2569
l,12800,-940,-15372,-2320,-2477,2041
l,12272,-1716,-15176,-1978,-2079,1997
l,11928,-2236,-14368,-1233,-2070,2646
l,11856,-2616,-13928,-156,-2366,3360
l,11988,-3188,-12664,690,-2782,3897
l,11772,-3152,-11988,1378,-2421,4017
l,11120,-2636,-11784,1523,-2589,3404
l,11304,-2780,-11276,1262,-2811,2438
l,11092,-2396,-10696,1118,-2146,1599
l,10768,-1700,-11204,1293,-1550,879
l,10588,-1032,-12468,1513,-1458,361
l,10532,-476,-12820,1432,-1620,54
l,10216,-316,-13040,1221,-1569,174
l,10452,-988,-12856,1130,-1818,1209
l,10584,-1640,-12644,973,-2355,2796
l,10644,-2640,-11652,969,-2585,4294
l,10804,-3776,-11416,791,-2576,5131
l,10572,-4720,-11164,998,-2564,5255
